"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 26 15:29:29 GMT 2024","Fri Jul 26 15:29:29 GMT 2024","135","","sirbu.UserRetrievalTest","","sirbu.UserRetrievalTest","testGetUsersYoungerThan","testGetUsersYoungerThan",""
"passed","Fri Jul 26 15:29:28 GMT 2024","Fri Jul 26 15:29:28 GMT 2024","44","","sirbu.UserDeleteTest","","sirbu.UserDeleteTest","testDeleteUserWithRequiredFieldsOnly","testDeleteUserWithRequiredFieldsOnly",""
"passed","Fri Jul 26 15:29:29 GMT 2024","Fri Jul 26 15:29:29 GMT 2024","27","","sirbu.ZipCodeTest","","sirbu.ZipCodeTest","testExpandZipCodesWithDuplications","testExpandZipCodesWithDuplications",""
"passed","Fri Jul 26 15:29:29 GMT 2024","Fri Jul 26 15:29:29 GMT 2024","12","","sirbu.ZipCodeTest","","sirbu.ZipCodeTest","testGetZipCodes","testGetZipCodes",""
"passed","Fri Jul 26 15:29:29 GMT 2024","Fri Jul 26 15:29:29 GMT 2024","24","","sirbu.ZipCodeTest","","sirbu.ZipCodeTest","testExpandZipCodesWithDuplicationsBetweenAvailableZip","testExpandZipCodesWithDuplicationsBetweenAvailableZip",""
"passed","Fri Jul 26 15:29:28 GMT 2024","Fri Jul 26 15:29:28 GMT 2024","66","","sirbu.UserCreationTest","","sirbu.UserCreationTest","testCreateUserWithExistingNameAndSex","testCreateUserWithExistingNameAndSex",""
"passed","Fri Jul 26 15:29:28 GMT 2024","Fri Jul 26 15:29:28 GMT 2024","60","","sirbu.UserDeleteTest","","sirbu.UserDeleteTest","testDeleteUserWithMissingRequiredField","testDeleteUserWithMissingRequiredField",""
"passed","Fri Jul 26 15:29:29 GMT 2024","Fri Jul 26 15:29:29 GMT 2024","105","","sirbu.UserRetrievalTest","","sirbu.UserRetrievalTest","testGetAllUsers","testGetAllUsers",""
"passed","Fri Jul 26 15:29:26 GMT 2024","Fri Jul 26 15:29:28 GMT 2024","1978","","sirbu.UserCreationTest","","sirbu.UserCreationTest","testCreateUserWithRequiredFields","testCreateUserWithRequiredFields",""
"passed","Fri Jul 26 15:29:28 GMT 2024","Fri Jul 26 15:29:28 GMT 2024","114","","sirbu.UserCreationTest","","sirbu.UserCreationTest","testCreateUserWithAllFields","testCreateUserWithAllFields",""
"passed","Fri Jul 26 15:29:28 GMT 2024","Fri Jul 26 15:29:28 GMT 2024","80","","sirbu.UserUpdateTest","","sirbu.UserUpdateTest","testUpdateUserWithUnavailableZipCode","testUpdateUserWithUnavailableZipCode",""
"passed","Fri Jul 26 15:29:28 GMT 2024","Fri Jul 26 15:29:28 GMT 2024","106","","sirbu.UserCreationTest","","sirbu.UserCreationTest","testCreateUserWithIncorrectZipCode","testCreateUserWithIncorrectZipCode",""
"passed","Fri Jul 26 15:29:29 GMT 2024","Fri Jul 26 15:29:29 GMT 2024","66","","sirbu.UserRetrievalTest","","sirbu.UserRetrievalTest","testGetUsersOlderThan","testGetUsersOlderThan",""
"passed","Fri Jul 26 15:29:28 GMT 2024","Fri Jul 26 15:29:29 GMT 2024","96","","sirbu.UserUploadTest","","sirbu.UserUploadTest","testFailedUserUploadWithIncorrectZipCode","testFailedUserUploadWithIncorrectZipCode",""
"passed","Fri Jul 26 15:29:28 GMT 2024","Fri Jul 26 15:29:28 GMT 2024","51","","sirbu.UserUpdateTest","","sirbu.UserUpdateTest","testUpdateUserSuccessfully","testUpdateUserSuccessfully",""
"passed","Fri Jul 26 15:29:29 GMT 2024","Fri Jul 26 15:29:29 GMT 2024","25","","sirbu.UserUploadTest","","sirbu.UserUploadTest","testSuccessfulUserUpload","testSuccessfulUserUpload",""
"passed","Fri Jul 26 15:29:29 GMT 2024","Fri Jul 26 15:29:29 GMT 2024","72","","sirbu.UserRetrievalTest","","sirbu.UserRetrievalTest","testGetUsersBySex","testGetUsersBySex",""
"passed","Fri Jul 26 15:29:29 GMT 2024","Fri Jul 26 15:29:29 GMT 2024","37","","sirbu.ZipCodeTest","","sirbu.ZipCodeTest","testPostZipCodes","testPostZipCodes",""
"passed","Fri Jul 26 15:29:29 GMT 2024","Fri Jul 26 15:29:29 GMT 2024","97","","sirbu.UserUploadTest","","sirbu.UserUploadTest","testFailedUserUploadWithMissingRequiredField","testFailedUserUploadWithMissingRequiredField",""
"passed","Fri Jul 26 15:29:28 GMT 2024","Fri Jul 26 15:29:28 GMT 2024","88","","sirbu.UserDeleteTest","","sirbu.UserDeleteTest","testDeleteUserSuccessfully","testDeleteUserSuccessfully",""
"passed","Fri Jul 26 15:29:28 GMT 2024","Fri Jul 26 15:29:28 GMT 2024","35","","sirbu.UserUpdateTest","","sirbu.UserUpdateTest","testUpdateUserOmittingRequiredField","testUpdateUserOmittingRequiredField",""
