"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 25 10:22:46 GMT 2024","Thu Jul 25 10:22:46 GMT 2024","43","","sirbu.UserDeleteTest","","sirbu.UserDeleteTest","testDeleteUserSuccessfully","testDeleteUserSuccessfully",""
"passed","Thu Jul 25 10:22:45 GMT 2024","Thu Jul 25 10:22:46 GMT 2024","839","","sirbu.UserCreationTest","","sirbu.UserCreationTest","testCreateUserWithRequiredFields","testCreateUserWithRequiredFields",""
"passed","Thu Jul 25 10:22:46 GMT 2024","Thu Jul 25 10:22:46 GMT 2024","45","","sirbu.UserDeleteTest","","sirbu.UserDeleteTest","testDeleteUserWithMissingRequiredField","testDeleteUserWithMissingRequiredField",""
"passed","Thu Jul 25 10:22:46 GMT 2024","Thu Jul 25 10:22:46 GMT 2024","35","","sirbu.UserRetrievalTest","","sirbu.UserRetrievalTest","testGetAllUsers","testGetAllUsers",""
"passed","Thu Jul 25 10:22:46 GMT 2024","Thu Jul 25 10:22:46 GMT 2024","25","","sirbu.UserDeleteTest","","sirbu.UserDeleteTest","testDeleteUserWithRequiredFieldsOnly","testDeleteUserWithRequiredFieldsOnly",""
"passed","Thu Jul 25 10:22:46 GMT 2024","Thu Jul 25 10:22:46 GMT 2024","45","","sirbu.UserUploadTest","","sirbu.UserUploadTest","testFailedUserUploadWithIncorrectZipCode","testFailedUserUploadWithIncorrectZipCode",""
"failed","Thu Jul 25 10:22:46 GMT 2024","Thu Jul 25 10:22:46 GMT 2024","10","","sirbu.UserUpdateTest","","sirbu.UserUpdateTest","testUpdateUserOmittingRequiredField","testUpdateUserOmittingRequiredField",""
"passed","Thu Jul 25 10:22:46 GMT 2024","Thu Jul 25 10:22:46 GMT 2024","9","","sirbu.ZipCodeTest","","sirbu.ZipCodeTest","testPostZipCodes","testPostZipCodes",""
"passed","Thu Jul 25 10:22:46 GMT 2024","Thu Jul 25 10:22:46 GMT 2024","17","","sirbu.UserUploadTest","","sirbu.UserUploadTest","testFailedUserUploadWithMissingRequiredField","testFailedUserUploadWithMissingRequiredField",""
"passed","Thu Jul 25 10:22:46 GMT 2024","Thu Jul 25 10:22:46 GMT 2024","31","","sirbu.UserRetrievalTest","","sirbu.UserRetrievalTest","testGetUsersOlderThan","testGetUsersOlderThan",""
"passed","Thu Jul 25 10:22:46 GMT 2024","Thu Jul 25 10:22:46 GMT 2024","20","","sirbu.UserUploadTest","","sirbu.UserUploadTest","testSuccessfulUserUpload","testSuccessfulUserUpload",""
"passed","Thu Jul 25 10:22:46 GMT 2024","Thu Jul 25 10:22:46 GMT 2024","31","","sirbu.UserRetrievalTest","","sirbu.UserRetrievalTest","testGetUsersBySex","testGetUsersBySex",""
"passed","Thu Jul 25 10:22:46 GMT 2024","Thu Jul 25 10:22:46 GMT 2024","7","","sirbu.ZipCodeTest","","sirbu.ZipCodeTest","testGetZipCodes","testGetZipCodes",""
"passed","Thu Jul 25 10:22:46 GMT 2024","Thu Jul 25 10:22:46 GMT 2024","48","","sirbu.UserCreationTest","","sirbu.UserCreationTest","testCreateUserWithIncorrectZipCode","testCreateUserWithIncorrectZipCode",""
"passed","Thu Jul 25 10:22:46 GMT 2024","Thu Jul 25 10:22:46 GMT 2024","13","","sirbu.ZipCodeTest","","sirbu.ZipCodeTest","testExpandZipCodesWithDuplicationsBetweenAvailableZip","testExpandZipCodesWithDuplicationsBetweenAvailableZip",""
"passed","Thu Jul 25 10:22:46 GMT 2024","Thu Jul 25 10:22:46 GMT 2024","38","","sirbu.UserRetrievalTest","","sirbu.UserRetrievalTest","testGetUsersYoungerThan","testGetUsersYoungerThan",""
"failed","Thu Jul 25 10:22:46 GMT 2024","Thu Jul 25 10:22:46 GMT 2024","23","","sirbu.UserUpdateTest","","sirbu.UserUpdateTest","testUpdateUserSuccessfully","testUpdateUserSuccessfully",""
"passed","Thu Jul 25 10:22:46 GMT 2024","Thu Jul 25 10:22:46 GMT 2024","31","","sirbu.UserUpdateTest","","sirbu.UserUpdateTest","testUpdateUserWithUnavailableZipCode","testUpdateUserWithUnavailableZipCode",""
"passed","Thu Jul 25 10:22:46 GMT 2024","Thu Jul 25 10:22:46 GMT 2024","11","","sirbu.ZipCodeTest","","sirbu.ZipCodeTest","testExpandZipCodesWithDuplications","testExpandZipCodesWithDuplications",""
"passed","Thu Jul 25 10:22:46 GMT 2024","Thu Jul 25 10:22:46 GMT 2024","42","","sirbu.UserCreationTest","","sirbu.UserCreationTest","testCreateUserWithAllFields","testCreateUserWithAllFields",""
"passed","Thu Jul 25 10:22:46 GMT 2024","Thu Jul 25 10:22:46 GMT 2024","57","","sirbu.UserCreationTest","","sirbu.UserCreationTest","testCreateUserWithExistingNameAndSex","testCreateUserWithExistingNameAndSex",""
